"raw_product","provider_id"
CRUDE OIL TUPI,86
CRUDE OIL WTM,4830
CRUDE OIL TUPI,86
STAR OIL,73
CRUDE OIL AMSI,4830
CRUDE OIL TUPI,86
CRUDE OIL WTM,4830
HSLCCG,73
CRUDE OIL MERO,86
CRUDE OIL MERO,86
DIESEL RECONSTITUTED,86
SANKOFA CRUDE,73
GAS NATURAL,86
CRUDE OIL BUZIO,86
CRUDE OIL SAME,4830
CRUDE OIL MERO,86
CRUDE OIL AZESU,4830
BKR,4830
CRUDE OIL REB,4830
CRUDE OIL QUIBO,4830
Blobstorage,5027
CRUDE OIL REBUL,4830
OC,4830
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
CRUDE OIL ORIENT,86
CRUDE OIL ORIENT,86
CRUDE OIL TUPI,86
ethylb,280
propylb,280
CRUDE OIL TUPI,86
bk,280
bkr,280
rhbc,280
CRUDE OIL TUPI,86
DIESEL AD10,73
FOK OIL,4830
CRUDE OIL TUPI,86
CRUDE OIL RECONSTITUTED,86
CRUDE OIL RECONSTITUTED,86
CRUDE OIL TUPI,86
CRUDE OIL ORIENT,86
CRUDE OIL ORIENT,86
LCO (LIGHT CICLE OIL),4830
CRUDE OIL AZELI,4830
ETB,4830
BK,4830
GAS 93,86
CNT VERSENEX 80 BULK,5027
M.E.K.,73
REFORMATED,86
CRUDE OIL CHAZA,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
ACRONITRILE,4830
PETROLEUM PRODUCT,4830
paraffines,280
Diesel Q70,5027
Diesel Q70,5027
ISOCHEM 113 (ISORCHEM),4830
tc6,280
GAS,86
l.c.o.,280
LIQUID PRODUCTS,86
ULSD 10PPM -25/-35,73
ULSD 10PPM -25/-35,73
NASH,86
OIL PRODUCTS,86
CRUDE OIL AZELI,4830
ETB,4830
UPG - UNKNOWN PRODUCT GRADE,73
MARTIN LINGE CRUDE OIL,73
LIGHT HYDRO,73
N-ALCANE SC10,4830
UPG - UKNOWN PRODUCT GRADE,73
FOK OIL,4830
MMM – METHYL METHACRYLATE MONOMER,73
ADBLUE,73
Butyl diglycol ether (BDGE),5027
KLA D70,73
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
UPG - UKNOWN PRODUCT GRADE,73
CRUDE OIL TUPI,86
LIQUID CARGO,86
MEDENITE,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OXS MECB SOLVENT ELECPURE 50BULK,5027
OIL PRODUCTS,86
LIQUID PRODUCTS,86
BIG HILL,73
LIQUID CARGO,86
UPG - UKNOWN PRODUCT GRADE,73
E10 BOB (PBOB) GASOLINE,73
E10 BOB (PBOB) GASOLINE,73
OIL PRODUCTS,86
ACRONITRILE,4830
OIL PRODUCTS,86
E10 BOB (PBOB) GASOLINE,73
ACRONITRILE,4830
E10 BOB (PBOB) GASOLINE,73
OIL PRODUCTS,86
CRUDE OIL TUPI,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
E10 BOB (PBOB) GASOLINE,73
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
OIL PRODUCTS,86
E10 BOB (PBOB) GASOLINE,73
E10 BOB (PBOB) GASOLINE,73
E10 BOB (PBOB) GASOLINE,73
E10 BOB (PBOB) GASOLINE,73
CRUDE OIL TUPI,86
OIL PRODUCTS,86
E10 BOB (PBOB) GASOLINE,73
OIL PRODUCTS,86
CRUDE OIL TUPI,86
OIL PRODUCTS,86
CRUDE OIL TUPI,86
CRUDE OIL RECONSTITUTED,86
CRUDE OIL RECONSTITUTED,86
CRUDE OIL ORIENT,86
CRUDE OIL ORIENT,86
B.NE,4830
ETHYLB.NE,4830
PROPYLB.NE,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
REFORMATED,86
oc,280
CRUDE OIL TUPI,86
LIQUID PRODUCTS,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
CRUDE OIL TUPI,86
CRUDE OIL TUPI,86
OIL,4830
FAT ACID,4830
CRUDE OIL SAME,4830
EUROBOB E10 GASOLINE,73
EUROBOB E10 GASOLINE,73
EUROBOB E10 GASOLINE,73
ISORCHERM,4830
EUROBOB E10 GASOLINE,73
EUROBOB E10 GASOLINE,73
LIQUID PRODUCTS,86
EUROBOB E10 GASOLINE,73
EUROBOB E10 GASOLINE,73
EUROBOB E10 GASOLINE,73
NASH,86
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
LIQUID PRODUCTS,86
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
E10 BOB GASOLINE,73
ANHYDROUS 99 ETHANOL,73
OIL PRODUCTS,86
E10 BOB GASOLINE,73
LIGHT CATALYTIC NAPHTA JET,4830
OIL PRODUCTS,86
E10 BOB GASOLINE,73
OIL PRODUCTS,86
E10 BOB GASOLINE,73
E10 BOB GASOLINE,73
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
E10 BOB GASOLINE,73
E10 BOB GASOLINE,73
E10 BOB GASOLINE,73
Air 1 AdBlue,5027
E10 BOB GASOLINE,73
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
FOK OIL,4830
ANHYDROUS 99 ETHANOL,73
E10 BOB GASOLINE,73
E10 BOB GASOLINE,73
ANHYDROUS 99 ETHANOL,73
E10 BOB GASOLINE,73
E10 BOB GASOLINE,73
OIL PRODUCTS,86
E10 BOB GASOLINE,73
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
OIL PRODUCTS,86
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
B.K.,4830
ANHYDROUS 99 ETHANOL,73
MMM – METHYL METHACRYLATE MONOMER,73
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
ANHYDROUS 99 ETHANOL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
ANHYDROUS NEUTRAL ETHANOL,73
OIL PRODUCTS,86
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
LIGHT DISTILLATE FEEDSTOCK LDF,73
UPG - UNKNOWN PRODUCT GRADE,73
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
EU QUALIFIED RAFFINATE,73
ANHYDROUS NEUTRAL ETHANOL,73
LIQUID PRODUCTS,86
ANHYDROUS NEUTRAL ETHANOL,73
LMSGO,4830
ANHYDROUS NEUTRAL ETHANOL,73
ANHYDROUS NEUTRAL ETHANOL,73
AROMATIC FUEL OIL,4830
ADBLUE,73
FOK OIL,4830
ATMOSPHERIC DISTILL. CRUDE,4830
LIQUID PRODUCTS,86
"33000",280
N-ALCANE SC10,4830
PARAFFINES,4830
TC6,4830
etb,280
OIL PRODUCTS,86
RAFF FORMEX,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
UPG - UNKNOWN PRODUCT GRADE,73
SUB OCTANE PREM. GAS BLENDSTOCK,73
LIQUID PRODUCTS,86
CRUDE OIL NAPO,86
ULSD 10PPM -25/-35,73
ULSD 10PPM -25/-35,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
GASOLINE SUPER 99,73
OTHER LIQUID PRODUCTS,86
fok oil,280
CAS 29/75,5027
OIL PRODUCTS,86
lco (light cicle oil),280
OIL PRODUCTS,86
CAS 29/75,5027
UPG - UNKNOWN PRODUCT GRADE,73
RAFF FORMEX,4830
UPG - UNKNOWN PRODUCT GRADE,73
OIL PRODUCTS,86
Caromax 20,5027
UNKNOWN PRODUCT GRADE,73
LIGHT DISTILLATE FEEDSTOCK LDF,73
TC9,4830
CRUDE OIL WTM,4830
BERYL CRUDE,73
fok oil,280
ADBLUE,73
KLA D70,73
ASTRA YELLOW HU LQ,5027
Alpha Olefin C16/C18,5027
CHEMICAL PRODUCT,4830
Trimethylbenzene,5027
ETB,4830
BIG HILL,73
"",280
UPG - UNKNOWN PRODUCT GRADE,73
UPG - UNKNOWN PRODUCT GRADE,73
CHEMICAL PRODUCT,4830
KS150,73
Base Oil BS 30/90,5027
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
KS100,73
OIL PRODUCTS,86
OIL PRODUCTS,86
FOK OIL,4830
PETROLEUM PRODUCT,4830
B.K.,4830
LIQUID PRODUCTS,86
Melflex DOTP (DIOCTYL TEREPHTHALATE),5027
"2 - ETHYHEXANOL",73
"2 - ETHYL HEXANOIC ACID",73
B.K.R.,4830
Kocosol 150,5027
Cutter Stock,5027
NASH,86
OXS MECB SOLV PET BULK,5027
etb,280
FOK OIL,4830
FAC 810-H,5027
OIL PRODUCTS,86
LIGHT DISTILLATE FEEDSTOCK LDF,73
OIL PRODUCTS,86
OIL PRODUCTS,86
PETROLEUM PRODUCT,4830
SBA,73
WCN,73
KERSENE,73
OIL PRODUCTS,86
SRB,73
E5 BOB GASOLINE,73
E5 BOB GASOLINE,73
E5 BOB GASOLINE,73
SBA,73
E5 BOB GASOLINE,73
TAR,73
FOK OIL,4830
FORTIES CRUDE,73
Tetra Br,5027
SBA,73
FOK OIL,4830
UPG - UNKNOWN PRODUCT GRADE,73
BRENT BLEND CRUDE OIL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
O.C.,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
SBA,73
FOK OIL,4830
FOK OIL,4830
FOK OIL,4830
FOK OIL,4830
E5 GASOLINE,73
SUB OCTANE PREM. GAS BLENDSTOCK,73
E5 GASOLINE,73
E5 GASOLINE,73
E5 GASOLINE,73
E5 GASOLINE,73
E5 GASOLINE,73
UPG - UNKNOWN PRODUCT GRADE,73
E5 GASOLINE,73
OIL PRODUCTS,86
OIL PRODUCTS,86
E5 GASOLINE,73
E5 GASOLINE,73
E5 GASOLINE,73
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
NASH,86
FOK OIL,4830
Sonawax 600,5027
E5 GASOLINE,73
Sonawax 600,5027
E5 GASOLINE,73
E5 GASOLINE,73
"CAT CRACKED SPIRIT (HCCS, LCCS)",73
E5 GASOLINE,73
LIMPAR,4830
OSI LUBE 100,73
ACRONITRILE,4830
E5 GASOLINE,73
E5 GASOLINE,73
E5 GASOLINE,73
E10 IRISH BOB,73
E10 IRISH BOB,73
E10 IRISH BOB,73
LIQUID PRODUCTS,86
FOK OIL,4830
FOK OIL,4830
SRB,73
BRENT BLEND CRUDE OIL,73
FAT ACID,4830
BURNING OIL,4830
METHIONINE,4830
OIL PRODUCTS,86
FOK OIL,4830
OIL PRODUCTS,86
OC,4830
OIL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
HPBS,73
OIL PRODUCTS,86
OIL PRODUCTS,86
OTHER LIQUID PRODUCTS,86
NASH,86
OIL PRODUCTS,86
OIL PRODUCTS,86
PARAFFINES,4830
S 90 BASE OIL,73
T150 BASE OIL,73
B.K.R.,4830
MEDANITO CRUDE OIL,73
MCN,4830
PARAFFINES,4830
MEDANITO CRUDE OIL,73
FOK OIL,4830
OC,4830
OC,4830
OTHER LIQUID PRODUCTS,86
PARAFFINES,4830
TROLL CRUDE OIL,73
PARAFFINES,4830
OIL,4830
CLEAN GAS CONDENSATE,73
CRUDE OIL MEDANITO,86
B.K.,4830
SRB,73
METHYL TERTHIAY BUTH. ETH.,4830
QUA IBOE CRUDE OIL,73
ETB,4830
DMA 0.1%,73
UPG - UNKNOWN PRODUCT GRADE,73
PETROLEUM PRODUCT,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
FOK OIL,4830
OIL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OIL PRODUCTS,86
FOK OIL,4830
OIL PRODUCTS,86
NASH,86
ETB,4830
LMSGO,4830
OTHER LIQUID PRODUCTS,86
ASTRA YELLOW HU LQ,5027
OC,4830
BOBBINS - STEEL BEAMS,86
BOBBINS - STEEL BEAMS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
MARTIN LINGE CRUDE OIL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
GAS JET,86
FOK OIL,4830
RBHC (BENZENE),4830
ETB,4830
ETB,4830
CRUDE OIL WESDE,4830
GAS PREMIUN,86
BRENT BLEND CRUDE OIL,73
APP,73
TME (TALLOW METHYL ESTER),73
OKWORI BLEND CRUDE OIL,4830
OIL PRODUCTS,86
OIL PRODUCTS,86
GAS TOPPING,86
OTHER LIQUID PRODUCTS,86
OIL PRODUCTS,86
NASH,86
GAS REGULAR,86
DGO,73
ETB,4830
HEAVY CICLE OIL,4830
TAR,73
PROPYL BENZENE,4830
UPG - UNKNOWN PRODUCT GRADE,73
ANYHDRIDE,73
VN,4830
B.K.,4830
crude oil azeli,280
FOK OIL,4830
LDF,73
FOK OIL,4830
GAS JET,86
DIESEL2S50,86
ASTRA YELLOW HU LQ,5027
JOHAN SVERDUP,73
CRUDE OIL RECONSTITUTED,86
PMF IV45,73
ASTRA YELLOW HU LQ,5027
CO 1214,5027
CO 1214,5027
Eastman NPG 90,5027
Eastman NPG 90,5027
RAFF FORMEX,4830
CRUDE OIL SIBEX,4830
WTI LIGHT,73
OIL PRODUCTS,86
NASH,86
EN590-B7.M ULTRA LOW SULFUR DIESEL,73
OIL PRODUCTS,86
OIL PRODUCTS,86
FOK OIL,4830
OC,4830
"",73
OIL,4830
CRUDE OIL WTM,4830
OC,4830
CRUDE OIL AZELI,4830
FOK OIL,4830
CRUDE OIL WESDE,4830
OTHER CHEMICAL PRODUCTS,86
CRUDE OIL WESDE,4830
UPG - UNKNOWN PRODUCT GRADE,73
CRUDE OIL ELSHA,4830
Cyclohexanol,5027
CRUDE OIL AZELI,4830
OIL PRODUCTS,86
CRUDE OIL ELSHA,4830
CRUDE OIL SAME,4830
ADBLUE,73
UPG - UNKNOWN PRODUCT GRADE,73
BRENT BLEND CRUDE OIL,73
Clarified Oil,5027
OIL PRODUCTS,86
OIL PRODUCTS,86
TROLL CRUDE OIL,73
OIL PRODUCTS,86
HPBS,73
CRUDE OIL KARIS,4830
FOK OIL,4830
OXS BUCS SOLV BULK,5027
CRUDE OIL WTM,4830
ANYHDRIDE,73
FOK OIL,4830
CRUDE OIL AMSI,4830
PRECURSOR MDI,5027
OTHER CHEMICAL PRODUCTS,86
Alpha Olefin C16/C18,5027
OTHER CHEMICAL PRODUCTS,86
CRUDE OIL REDUCED,86
ACRONITRILE,4830
UPG - UNKNOWN PRODUCT GRADE,73
OIL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
LPV,73
OIL PRODUCTS,86
OIL PRODUCTS,86
FOK OIL,4830
CRUDE OIL AZELI,4830
OIL,86
OTHER CHEMICAL PRODUCTS,86
LIQUID GRANEL,86
FOK OIL,4830
FOK OIL,4830
CRUDE OIL AZELI,4830
BKR,4830
CRUDE OIL SAME,4830
UPG - UNKNOWN PRODUCT GRADE,73
ADBLUE,73
FOK OIL,4830
CRUDE OIL ELSHA,4830
CRUDE OIL AZELI,4830
BRENT BLEND CRUDE OIL,73
LIGHT DISTILLATE FEEDSTOCK LDF,73
CRUDE OIL WESDE,4830
CRUDE OIL WTM,4830
WTI LIGHT,73
CRUDE OIL AZELI,4830
AS SOLUTION,73
CRUDE OIL ELSHA,4830
TROLL CRUDE OIL,73
ACID,86
INPAR 14-17,73
CRUDE OIL WTM,4830
PGI / PGUSP,73
MARTIN LINGE CRUDE OIL,73
ADBLUE,73
CRUDE OIL AZELI,4830
CRUDE OIL AZESU,4830
ETB,4830
SIRTI,4830
UPG - UNKNONW PRODUCT GRADE,73
CRUDE OIL WTM,4830
BLENDING HCCS,73
HSFO (RMG 380) MAX 3.5%,73
UNITY GOLD,73
OIL PRODUCTS,86
OIL PRODUCTS,86
LSMGO (DMA) MAX 0.1% :,73
CRUDE OIL AZELI,4830
OIL PRODUCTS,86
"2994",4830
OTHER CHEMICAL PRODUCTS,86
OC,4830
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
SEC-BUTYL ALCOHOL,73
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
PETROLEUM PRODUCT,4830
BRENT BLEND CRUDE OIL,73
N'KOSSA,73
OTHER CHEMICAL PRODUCTS,86
CRUDE OIL SAME,4830
CRUDE OIL ELSHA,4830
CRUDE OIL SAME,4830
OIL,86
UPG - UNKNOWN PRODUCT GRADE,73
FOK OIL,4830
CRUDE OIL ELSHA,4830
SIRI CRUDE,73
UAN 32%,73
CRUDE OIL AZELI,4830
ULSD-BO,73
FOK OIL,4830
CRUDE OIL ULULU,4830
"CAT CRACKED SPIRIT (HCCS, LCCS)",73
CRUDE OIL ASTAT,4830
CRUDE OIL AZELI,4830
CRUDE OIL ZAWIA,4830
CRUDE OIL RECONSTITUTED,86
CRUDE OIL AZELI,4830
FOK OIL,4830
VN,4830
FISH,86
GAS 93,86
GAS 93,86
GAS 97,86
GAS 97,86
GAS 97,86
GAS 97,86
CRUDE OIL AMSI,4830
GAS JET,86
CRUDE OIL RECONSTITUTED,86
CRUDE OIL RECONSTITUTED,86
FOK OIL,4830
FISH,86
oc,280
FAT ACID,4830
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
CRUDE OIL ELSHA,4830
OIL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
CRUDE OIL AZELI,4830
crude oil elsha,280
ADBLUE,73
CRUDE OIL ELSHA,4830
GAS 93,86
GAS 97,86
TAR,73
CRUDE OIL WESDE,4830
OTHER CHEMICAL PRODUCTS,86
GAS 93,86
GAS 97,86
CRUDE OIL WTM,4830
LIQUID CARGO,86
FOK OIL,4830
GAS 93,86
GAS 93,86
ADBLUE,73
CRUDE OIL AZELI,4830
CLOVE,73
B.K.,4830
"CAT CRACKED SPIRIT (HCCS, LCCS)",73
CRUDE OIL ELSHA,4830
GAS 93,86
BKR,4830
CRUDE OIL WTM,4830
BRENT BLEND CRUDE OIL,73
FOK OIL,4830
OIL PRODUCTS,86
KRAKEN CRUDE OIL,73
OIL PRODUCTS,86
CRUDE OIL WTM,4830
crude oil azeli,280
CRUDE OIL AZELI,4830
FOK OIL,4830
CRUDE OIL ELSHA,4830
FOK OIL,4830
CRUDE OIL AZELI,4830
CRUDE OIL AZELI,4830
FOK OIL,4830
MEDANITO CRUDE OIL,86
FOK OIL,4830
MEDANITO CRUDE OIL,86
UPG - UNKNOWN PRODUCT GRADE,73
MEDANITO CRUDE OIL,86
crude oil wtm,280
CRUDE OIL WTM,4830
NPCR,73
CRUDE OIL AMSI,4830
OIL,86
CRUDE OIL SAME,4830
CRUDE OIL ELSHA,4830
CRUDE OIL AZELI,4830
CRUDE OIL WTM,4830
BK,4830
CRUDE OIL AZELI,4830
USED LUBE OILS,73
LIQUID GRANEL,86
ADBLUE,73
crude oil elsha,280
OIL PRODUCTS,86
OIL PRODUCTS,86
CRUDE OIL WTM,4830
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
USED LUBE OILS,73
CRUDE OIL WTM,4830
UPG - UNKNOWN PRODUCT GRADE,73
OIL,86
OC,4830
BITUMER,4830
TAR,73
FOK OIL,4830
CRUDE OIL WTM,4830
S 90 BASE OIL,73
crude oil azeli,280
MEDANITO CRUDE OIL,86
CRUDE OIL AZELI,4830
CRUDE OIL AZELI,4830
MEDANITO CRUDE OIL,86
TAR,73
T 150 BASE OIL,73
crude oil azeli,280
FOK OIL,4830
T 3 BASE OIL,73
CRUDE OIL ZUBF,4830
CRUDE OIL ELSHA,4830
FOK OIL,4830
T 9 BASE OIL,73
crude oil wesde,280
FOK OIL,4830
BRENT BLEND CRUDE OIL,73
M.E.K.,73
LDF,73
Ammonium Heptamolybdate Tetrahydrate,5027
crude oil amsi,280
BASE STOCK 20 BASE OIL,73
FOK OIL,4830
crude oil same,280
CRUDE OIL ELSHA,4830
crude oil azeli,280
UPG - UNKNOWN PRODUCT GRADE,73
CRUDE OIL AZELI,4830
PARAFFINES,4830
CRUDE OIL AZELI,4830
FOK OIL,4830
AMONIUM SULPHATE SOLUTION,73
BRENT CRUDE,73
LIQUID GRANEL,86
ANHYDRIDE,73
FOK OIL,4830
OTHER CHEMICAL PRODUCTS,86
OTHER CHEMICAL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
OIL PRODUCTS,86
CN9,5027
GASOL - ASCO,73
CRUDE OIL AZELI,4830
crude oil elsha,280
DMA 0.1%,73
TAR,73
CN9,5027
CN9,5027
CN9,5027
MARKED KEROSENE.,73
CRUDE OIL AZELI,4830
crude oil azeli,280
FOK OIL,4830
NCPR,73
UPG - UNKNOWN PRODUCT GRADE,73
GAS,86
FOK OIL,4830
PU 10,73
ES SIDER CRUDE OIL,73
"TALL OIL + POME, FATTY ACID",73
HYDROSEAL,73
KETRUL D75,73
ADBLUE,73
KS150 BASE OIL,73
KS100 BASE OIL,73
LSMGO (DMA) MAX 0.1%,73
CRUDE OIL WTM,4830
LSR,73
CAT LIGHT NAPHTHA,73
WTI LIGHT,73
"CAT CRACKED SPIRIT (HCCS, LCCS)",73
CRUDE OIL AZELI,4830
FISH,86
FOK OIL,4830
crude oil wesde,280
B.K.,4830
OIL,86
SBA,73
CRUDE OIL RECONSTITUTED,86
CRUDE OIL AZELI,4830
crude oil azeli,280
CRUDE OIL WTM,4830
BOBBINS - STEEL BEAMS,86
